TRAVELER_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM_NP,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,X_COORD,Y_COORD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION
d003657,d_d003657,2,제주현대미술관,제주현대미술관,TOU,126.265585,33.33966276,5,4,4
d003657,d_d003657,3,제주도립김창열미술관,제주도립김창열미술관,TOU,126.2686621,33.33906784,4,4,4
d003657,d_d003657,4,문화예술 공공수장고,문화예술 공공수장고,TOU,126.2649473,33.33706419,5,4,4
d003657,d_d003657,5,앤트러사이트 제주한림점,앤트러사이트 제주한림점,RES,126.2581496,33.40777177,4,4,4
d003657,d_d003657,6,제주 애월회관 애월곽지점,제주 애월회관 애월곽지점,RES,126.312695,33.46189631,2,1,1
d003665,d_d003665,2,마마롱,마마롱,RES,126.4391778,33.45215929,5,5,4
d003665,d_d003665,3,라이진,라이진,RES,126.4290226,33.44983551,4,4,4
d003665,d_d003665,5,금능해장국,금능해장국,RES,126.2321173,33.38923904,4,5,4
d003665,d_d003665,6,제주현대미술관,제주현대미술관,TOU,126.265585,33.33966276,5,5,5
d003665,d_d003665,9,고전떡볶이 본점,고전떡볶이 본점,RES,126.5194146,33.51289766,5,5,5
d003671,d_d003671,3,싱싱식당 서귀포1호점,싱싱식당 서귀포1호점,RES,126.564285,33.25064424,4,2,2
d003671,d_d003671,4,아트박스 서귀포점,아트박스 서귀포점,RES,126.5631738,33.24795709,4,3,3
d003671,d_d003671,5,서귀포매일올레시장,서귀포매일올레시장,TOU,126.5632316,33.25015006,4,4,4
d003671,d_d003671,7,이중섭거리,이중섭거리,TOU,126.5640039,33.24761378,5,5,5
d003675,d_d003675,2,효명사,효명사,TOU,126.5941584,33.32329739,4,4,4
d003675,d_d003675,6,랜딩관 제주신화월드호텔앤리조트,랜딩관 제주신화월드호텔앤리조트,TOU,126.3175385,33.30566208,3,3,3
d003675,d_d003675,7,송훈파크 크라운돼지,송훈파크 크라운돼지,RES,126.3831759,33.39317967,4,4,4
d003676,d_d003676,3,서귀포매일올레시장,서귀포매일올레시장,TOU,126.5632316,33.25015006,5,5,4
d003676,d_d003676,5,새연교,새연교,TOU,126.558886,33.23853254,4,3,3
d003676,d_d003676,6,해송초밥,해송초밥,RES,126.5106734,33.25224812,4,4,4
d003676,d_d003676,7,산방산랜드,산방산랜드,TOU,126.3117031,33.23378586,4,4,4
